[1/20] size=10 seed=0 warm=0.0s (elapsed 0s)
    SwapRouteTailsAtSharedDepot            propose    17.60us  apply    10.10us  actionable  99.3%
    CustomerBestOfkSwapInRandomRoute       propose   129.70us  apply     3.40us  actionable 100.0%
    RandomRoutePermutation                 propose    10.60us  apply     0.00us  actionable 100.0%
    ChangeRandomEndDepot                   propose     4.90us  apply     2.20us  actionable 100.0%
    SplitRandomRoute                       propose     6.80us  apply    14.60us  actionable 100.0%
    CombineRandomRoutes                    propose   113.40us  apply     9.20us  actionable 100.0%
[8/20] size=100 seed=2 warm=0.0s (elapsed 99s)
    RandomRouteReassignment                propose    10.30us  apply     6.70us  actionable  93.2%
    RandomCustomerReassignment             propose    12.80us  apply     3.90us  actionable  99.0%
    RandomCustomerChainReassignment        propose    14.20us  apply     4.70us  actionable  87.5%
    ReassignClosestChainWithRandomCustomer propose    14.30us  apply     4.20us  actionable  78.3%
    ReverseClosestPairTogether             propose     8.60us  apply     2.10us  actionable  79.9%
    RandomCustomerChainReversal            propose     3.80us  apply     1.90us  actionable 100.0%
    RandomCustomerSwap                     propose    10.10us  apply     2.40us  actionable 100.0%
    RandomSameLengthChainSwap              propose    14.00us  apply     3.90us  actionable  99.6%
    RandomChainSwap                        propose    15.90us  apply    10.20us  actionable  99.6%
    SwapRouteHeadsAtSharedDepot            propose    15.30us  apply     9.80us  actionable  99.5%
    SwapRouteTailsAtSharedDepot            propose    17.60us  apply    10.20us  actionable  99.4%
    CustomerBestOfkSwapInRandomRoute       propose   131.00us  apply     3.40us  actionable 100.0%
    RandomRoutePermutation                 propose    10.70us  apply     0.00us  actionable 100.0%
    ChangeRandomEndDepot                   propose     4.90us  apply     2.20us  actionable 100.0%
    SplitRandomRoute                       propose     6.80us  apply    14.70us  actionable 100.0%
    CombineRandomRoutes                    propose   114.20us  apply     9.50us  actionable 100.0%
[9/20] size=100 seed=3 warm=0.0s (elapsed 115s)
    RandomRouteReassignment                propose    11.00us  apply     7.40us  actionable  93.2%
    RandomCustomerReassignment             propose    12.80us  apply     3.90us  actionable  98.8%
    RandomCustomerChainReassignment        propose    14.40us  apply     4.70us  actionable  87.6%
    ReassignClosestChainWithRandomCustomer propose    13.50us  apply     3.90us  actionable  78.6%
    ReverseClosestPairTogether             propose     8.70us  apply     2.00us  actionable  79.6%
    RandomCustomerChainReversal            propose     3.80us  apply     1.90us  actionable 100.0%
    RandomCustomerSwap                     propose     9.70us  apply     2.40us  actionable 100.0%
    RandomSameLengthChainSwap              propose    14.00us  apply     3.90us  actionable  99.5%
    RandomChainSwap                        propose    15.80us  apply    10.20us  actionable  99.6%
    SwapRouteHeadsAtSharedDepot            propose    15.50us  apply     9.90us  actionable  99.6%
    SwapRouteTailsAtSharedDepot            propose    17.90us  apply    10.40us  actionable  99.4%
    CustomerBestOfkSwapInRandomRoute       propose   131.90us  apply     3.40us  actionable 100.0%
    RandomRoutePermutation                 propose    10.90us  apply     0.00us  actionable 100.0%
    ChangeRandomEndDepot                   propose     5.00us  apply     2.30us  actionable 100.0%
    SplitRandomRoute                       propose     6.90us  apply    14.80us  actionable 100.0%
    CombineRandomRoutes                    propose   114.30us  apply     9.60us  actionable 100.0%
[10/20] size=100 seed=4 warm=0.0s (elapsed 133s)
    RandomRouteReassignment                propose    10.50us  apply     6.75us  actionable  93.1%
    RandomCustomerReassignment             propose    12.70us  apply     3.90us  actionable  98.8%
    RandomCustomerChainReassignment        propose    14.00us  apply     4.60us  actionable  86.6%
    ReassignClosestChainWithRandomCustomer propose    13.30us  apply     3.90us  actionable  79.1%
    ReverseClosestPairTogether             propose     8.70us  apply     2.10us  actionable  79.7%
    RandomCustomerChainReversal            propose     3.80us  apply     2.00us  actionable 100.0%
    RandomCustomerSwap                     propose     9.80us  apply     2.40us  actionable 100.0%
    RandomSameLengthChainSwap              propose    13.90us  apply     3.90us  actionable  99.6%
    RandomChainSwap                        propose    15.80us  apply    10.30us  actionable  99.6%
    SwapRouteHeadsAtSharedDepot            propose    15.30us  apply     9.90us  actionable  99.6%
    SwapRouteTailsAtSharedDepot            propose    17.70us  apply    10.30us  actionable  99.3%
    CustomerBestOfkSwapInRandomRoute       propose   129.90us  apply     3.40us  actionable 100.0%
    RandomRoutePermutation                 propose    10.60us  apply     0.00us  actionable 100.0%
    ChangeRandomEndDepot                   propose     5.00us  apply     2.20us  actionable 100.0%
    SplitRandomRoute                       propose     6.80us  apply    14.60us  actionable 100.0%
    CombineRandomRoutes                    propose   115.10us  apply     9.70us  actionable 100.0%
[11/20] size=1000 seed=0 warm=0.0s (elapsed 149s)
    RandomRouteReassignment                propose    10.50us  apply     6.50us  actionable  99.2%
    RandomCustomerReassignment             propose    13.20us  apply     3.90us  actionable  99.9%
    RandomCustomerChainReassignment        propose    15.00us  apply     4.60us  actionable  94.6%
    ReassignClosestChainWithRandomCustomer propose    13.90us  apply     3.90us  actionable  84.9%
    ReverseClosestPairTogether             propose     8.70us  apply     2.10us  actionable  84.8%
    RandomCustomerChainReversal            propose     3.80us  apply     2.00us  actionable 100.0%
    RandomCustomerSwap                     propose    11.00us  apply     2.50us  actionable 100.0%
    RandomSameLengthChainSwap              propose    15.50us  apply     4.50us  actionable  99.9%
    RandomChainSwap                        propose    16.80us  apply    10.30us  actionable 100.0%
    SwapRouteHeadsAtSharedDepot            propose    16.00us  apply    10.00us  actionable 100.0%
    SwapRouteTailsAtSharedDepot            propose    35.40us  apply    10.60us  actionable 100.0%
    CustomerBestOfkSwapInRandomRoute       propose   129.10us  apply     3.60us  actionable 100.0%
    RandomRoutePermutation                 propose    11.90us  apply     0.00us  actionable 100.0%
    ChangeRandomEndDepot                   propose     5.20us  apply     2.30us  actionable 100.0%
    SplitRandomRoute                       propose     7.10us  apply    14.90us  actionable 100.0%
    CombineRandomRoutes                    propose   119.10us  apply    10.50us  actionable 100.0%
[12/20] size=1000 seed=1 warm=0.0s (elapsed 167s)
    RandomRouteReassignment                propose    10.50us  apply     6.50us  actionable  99.2%
    RandomCustomerReassignment             propose    13.10us  apply     3.90us  actionable  99.9%
    RandomCustomerChainReassignment        propose    15.00us  apply     4.60us  actionable  94.7%
    ReassignClosestChainWithRandomCustomer propose    13.80us  apply     3.90us  actionable  84.6%
    ReverseClosestPairTogether             propose     8.80us  apply     2.10us  actionable  85.1%
    RandomCustomerChainReversal            propose     3.80us  apply     1.90us  actionable 100.0%
    RandomCustomerSwap                     propose    10.70us  apply     2.50us  actionable 100.0%
    RandomSameLengthChainSwap              propose    15.10us  apply     4.50us  actionable 100.0%
    RandomChainSwap                        propose    16.80us  apply    10.40us  actionable  99.9%
    SwapRouteHeadsAtSharedDepot            propose    16.20us  apply     9.90us  actionable 100.0%
    SwapRouteTailsAtSharedDepot            propose    35.50us  apply    10.50us  actionable 100.0%
    CustomerBestOfkSwapInRandomRoute       propose   128.60us  apply     3.60us  actionable 100.0%
    RandomRoutePermutation                 propose    11.30us  apply     0.00us  actionable 100.0%
    ChangeRandomEndDepot                   propose     5.20us  apply     2.30us  actionable 100.0%
    SplitRandomRoute                       propose     7.10us  apply    15.00us  actionable 100.0%
    CombineRandomRoutes                    propose   118.30us  apply    10.30us  actionable 100.0%
[13/20] size=1000 seed=2 warm=0.0s (elapsed 185s)
    RandomRouteReassignment                propose    10.60us  apply     6.50us  actionable  99.2%
    RandomCustomerReassignment             propose    13.00us  apply     3.90us  actionable  99.9%
    RandomCustomerChainReassignment        propose    14.90us  apply     4.60us  actionable  94.6%
    ReassignClosestChainWithRandomCustomer propose    13.80us  apply     3.90us  actionable  84.5%
    ReverseClosestPairTogether             propose     8.80us  apply     2.10us  actionable  84.5%
    RandomCustomerChainReversal            propose     3.90us  apply     2.00us  actionable 100.0%
    RandomCustomerSwap                     propose    10.80us  apply     2.60us  actionable 100.0%
    RandomSameLengthChainSwap              propose    15.20us  apply     4.60us  actionable  99.9%
    RandomChainSwap                        propose    16.90us  apply    10.30us  actionable 100.0%
    SwapRouteHeadsAtSharedDepot            propose    17.20us  apply    10.40us  actionable 100.0%
    SwapRouteTailsAtSharedDepot            propose    35.40us  apply    10.40us  actionable 100.0%
    CustomerBestOfkSwapInRandomRoute       propose   130.00us  apply     3.60us  actionable 100.0%
    RandomRoutePermutation                 propose    11.20us  apply     0.00us  actionable 100.0%
    ChangeRandomEndDepot                   propose     5.30us  apply     2.30us  actionable 100.0%
    SplitRandomRoute                       propose     7.20us  apply    15.20us  actionable 100.0%
    CombineRandomRoutes                    propose   120.10us  apply    10.50us  actionable 100.0%
[14/20] size=1000 seed=3 warm=0.0s (elapsed 203s)
    RandomRouteReassignment                propose    10.70us  apply     6.60us  actionable  99.2%
    RandomCustomerReassignment             propose    13.30us  apply     3.90us  actionable  99.9%
    RandomCustomerChainReassignment        propose    15.10us  apply     4.70us  actionable  94.7%
    ReassignClosestChainWithRandomCustomer propose    14.20us  apply     4.00us  actionable  84.8%
    ReverseClosestPairTogether             propose     9.70us  apply     2.40us  actionable  84.9%
    RandomCustomerChainReversal            propose     3.90us  apply     2.00us  actionable 100.0%
    RandomCustomerSwap                     propose    11.00us  apply     2.60us  actionable 100.0%
    RandomSameLengthChainSwap              propose    15.20us  apply     4.60us  actionable  99.9%
    RandomChainSwap                        propose    16.80us  apply    10.40us  actionable  99.9%
    SwapRouteHeadsAtSharedDepot            propose    16.20us  apply    10.10us  actionable 100.0%
    SwapRouteTailsAtSharedDepot            propose    35.40us  apply    10.50us  actionable 100.0%
    CustomerBestOfkSwapInRandomRoute       propose   129.20us  apply     3.60us  actionable 100.0%
    RandomRoutePermutation                 propose    11.20us  apply     0.00us  actionable 100.0%
    ChangeRandomEndDepot                   propose     5.10us  apply     2.30us  actionable 100.0%
    SplitRandomRoute                       propose     7.20us  apply    15.10us  actionable 100.0%
    CombineRandomRoutes                    propose   119.40us  apply    10.10us  actionable 100.0%
[15/20] size=1000 seed=4 warm=0.0s (elapsed 221s)
    RandomRouteReassignment                propose    10.80us  apply     6.60us  actionable  99.1%
    RandomCustomerReassignment             propose    13.00us  apply     3.90us  actionable  99.9%
    RandomCustomerChainReassignment        propose    14.80us  apply     4.50us  actionable  94.8%
    ReassignClosestChainWithRandomCustomer propose    13.80us  apply     3.90us  actionable  85.0%
    ReverseClosestPairTogether             propose     8.70us  apply     2.10us  actionable  84.9%
    RandomCustomerChainReversal            propose     4.00us  apply     2.00us  actionable 100.0%
    RandomCustomerSwap                     propose    10.80us  apply     2.50us  actionable 100.0%
    RandomSameLengthChainSwap              propose    15.10us  apply     4.40us  actionable 100.0%
    RandomChainSwap                        propose    17.00us  apply    10.30us  actionable  99.9%
    SwapRouteHeadsAtSharedDepot            propose    16.30us  apply     9.90us  actionable 100.0%
    SwapRouteTailsAtSharedDepot            propose    35.00us  apply    10.40us  actionable 100.0%
    CustomerBestOfkSwapInRandomRoute       propose   127.50us  apply     3.50us  actionable 100.0%
    RandomRoutePermutation                 propose    11.20us  apply     0.00us  actionable 100.0%
    ChangeRandomEndDepot                   propose     5.10us  apply     2.20us  actionable 100.0%
    SplitRandomRoute                       propose     7.10us  apply    14.90us  actionable 100.0%
    CombineRandomRoutes                    propose   120.15us  apply    10.70us  actionable 100.0%
[16/20] size=5000 seed=0 warm=0.0s (elapsed 238s)
    RandomRouteReassignment                propose    11.40us  apply     6.70us  actionable  99.8%
    RandomCustomerReassignment             propose    14.00us  apply     3.80us  actionable 100.0%
    RandomCustomerChainReassignment        propose    16.20us  apply     4.60us  actionable  93.4%
    ReassignClosestChainWithRandomCustomer propose    15.30us  apply     3.90us  actionable  83.0%
    ReverseClosestPairTogether             propose    10.00us  apply     2.30us  actionable  83.5%
    RandomCustomerChainReversal            propose     4.70us  apply     2.10us  actionable 100.0%
    RandomCustomerSwap                     propose    12.10us  apply     2.70us  actionable 100.0%
    RandomSameLengthChainSwap              propose    16.90us  apply     4.70us  actionable 100.0%
    RandomChainSwap                        propose    19.30us  apply    10.60us  actionable 100.0%
    SwapRouteHeadsAtSharedDepot            propose    17.50us  apply    10.10us  actionable 100.0%
    SwapRouteTailsAtSharedDepot            propose   116.50us  apply    11.00us  actionable 100.0%
    CustomerBestOfkSwapInRandomRoute       propose   130.50us  apply     3.60us  actionable 100.0%
    RandomRoutePermutation                 propose    12.80us  apply     0.00us  actionable 100.0%
    ChangeRandomEndDepot                   propose     6.00us  apply     2.30us  actionable 100.0%
    SplitRandomRoute                       propose     8.10us  apply    15.20us  actionable 100.0%
    CombineRandomRoutes                    propose   128.60us  apply    11.20us  actionable 100.0%
[17/20] size=5000 seed=1 warm=0.0s (elapsed 267s)
    RandomRouteReassignment                propose    11.50us  apply     6.80us  actionable  99.8%
    RandomCustomerReassignment             propose    14.60us  apply     4.00us  actionable 100.0%
    RandomCustomerChainReassignment        propose    16.50us  apply     4.60us  actionable  93.5%
    ReassignClosestChainWithRandomCustomer propose    15.50us  apply     4.00us  actionable  82.8%
    ReverseClosestPairTogether             propose    10.30us  apply     2.30us  actionable  82.7%
    RandomCustomerChainReversal            propose     5.00us  apply     2.20us  actionable 100.0%
    RandomCustomerSwap                     propose    12.20us  apply     2.70us  actionable 100.0%
    RandomSameLengthChainSwap              propose    17.30us  apply     4.70us  actionable 100.0%
    RandomChainSwap                        propose    18.90us  apply    10.60us  actionable 100.0%
    SwapRouteHeadsAtSharedDepot            propose    19.10us  apply    10.60us  actionable 100.0%
    SwapRouteTailsAtSharedDepot            propose   118.20us  apply    11.30us  actionable 100.0%
    CustomerBestOfkSwapInRandomRoute       propose   134.10us  apply     3.70us  actionable 100.0%
    RandomRoutePermutation                 propose    13.30us  apply     0.00us  actionable 100.0%
    ChangeRandomEndDepot                   propose     5.90us  apply     2.40us  actionable 100.0%
    SplitRandomRoute                       propose     8.30us  apply    15.70us  actionable 100.0%
    CombineRandomRoutes                    propose   128.90us  apply    11.00us  actionable 100.0%
[18/20] size=5000 seed=2 warm=0.0s (elapsed 296s)
    RandomRouteReassignment                propose    11.30us  apply     6.70us  actionable  99.9%
    RandomCustomerReassignment             propose    14.40us  apply     3.90us  actionable 100.0%
    RandomCustomerChainReassignment        propose    16.10us  apply     4.50us  actionable  93.6%
    ReassignClosestChainWithRandomCustomer propose    15.40us  apply     3.90us  actionable  82.7%
    ReverseClosestPairTogether             propose    10.00us  apply     2.20us  actionable  83.2%
    RandomCustomerChainReversal            propose     4.80us  apply     2.10us  actionable 100.0%
    RandomCustomerSwap                     propose    12.20us  apply     2.70us  actionable 100.0%
    RandomSameLengthChainSwap              propose    17.00us  apply     4.70us  actionable 100.0%
    RandomChainSwap                        propose    18.70us  apply    10.40us  actionable 100.0%
    SwapRouteHeadsAtSharedDepot            propose    17.60us  apply    10.00us  actionable 100.0%
    SwapRouteTailsAtSharedDepot            propose   116.60us  apply    11.20us  actionable 100.0%
    CustomerBestOfkSwapInRandomRoute       propose   133.40us  apply     3.70us  actionable 100.0%
    RandomRoutePermutation                 propose    13.30us  apply     0.00us  actionable 100.0%
    ChangeRandomEndDepot                   propose     5.90us  apply     2.30us  actionable 100.0%
    SplitRandomRoute                       propose     8.30us  apply    15.50us  actionable 100.0%
    CombineRandomRoutes                    propose   129.80us  apply    11.20us  actionable 100.0%
[19/20] size=5000 seed=3 warm=0.0s (elapsed 324s)
    RandomRouteReassignment                propose    11.40us  apply     6.90us  actionable  99.9%
    RandomCustomerReassignment             propose    14.10us  apply     3.90us  actionable 100.0%
    RandomCustomerChainReassignment        propose    16.30us  apply     4.60us  actionable  93.4%
    ReassignClosestChainWithRandomCustomer propose    15.30us  apply     3.90us  actionable  82.9%
    ReverseClosestPairTogether             propose    10.00us  apply     2.40us  actionable  83.1%
    RandomCustomerChainReversal            propose     4.70us  apply     2.20us  actionable 100.0%
    RandomCustomerSwap                     propose    12.60us  apply     2.80us  actionable 100.0%
    RandomSameLengthChainSwap              propose    16.90us  apply     4.70us  actionable 100.0%
    RandomChainSwap                        propose    19.00us  apply    10.50us  actionable 100.0%
    SwapRouteHeadsAtSharedDepot            propose    17.90us  apply    10.20us  actionable 100.0%
    SwapRouteTailsAtSharedDepot            propose   121.70us  apply    11.30us  actionable 100.0%
    CustomerBestOfkSwapInRandomRoute       propose   132.90us  apply     3.80us  actionable 100.0%
    RandomRoutePermutation                 propose    13.00us  apply     0.00us  actionable 100.0%
    ChangeRandomEndDepot                   propose     6.10us  apply     2.30us  actionable 100.0%
    SplitRandomRoute                       propose     8.20us  apply    15.30us  actionable 100.0%
    CombineRandomRoutes                    propose   129.60us  apply    11.20us  actionable 100.0%
[20/20] size=5000 seed=4 warm=0.0s (elapsed 353s)
    RandomRouteReassignment                propose    11.50us  apply     6.90us  actionable  99.8%
    RandomCustomerReassignment             propose    14.10us  apply     3.80us  actionable 100.0%
    RandomCustomerChainReassignment        propose    16.50us  apply     4.50us  actionable  93.7%
    ReassignClosestChainWithRandomCustomer propose    15.40us  apply     3.90us  actionable  83.0%
    ReverseClosestPairTogether             propose    10.20us  apply     2.30us  actionable  83.0%
    RandomCustomerChainReversal            propose     4.90us  apply     2.20us  actionable 100.0%
    RandomCustomerSwap                     propose    12.10us  apply     2.70us  actionable 100.0%
    RandomSameLengthChainSwap              propose    17.10us  apply     4.80us  actionable 100.0%
    RandomChainSwap                        propose    18.80us  apply    10.50us  actionable 100.0%
    SwapRouteHeadsAtSharedDepot            propose    17.90us  apply    10.00us  actionable 100.0%
    SwapRouteTailsAtSharedDepot            propose   121.40us  apply    11.00us  actionable 100.0%
    CustomerBestOfkSwapInRandomRoute       propose   132.80us  apply     3.70us  actionable 100.0%
    RandomRoutePermutation                 propose    13.30us  apply     0.00us  actionable 100.0%
    ChangeRandomEndDepot                   propose     6.00us  apply     2.30us  actionable 100.0%
    SplitRandomRoute                       propose     8.20us  apply    15.20us  actionable 100.0%
    CombineRandomRoutes                    propose   128.60us  apply    11.20us  actionable 100.0%

Wrote tools/profile_cold.json in 382.4s across 20 cells.
No findings: every apply/revert round trip restored the solution exactly.
